geo_id,tract_name,tractce10,sum_indian
1400000US48453000302,"Census Tract 3.02, Travis County, Texas",302,73
1400000US48453000401,"Census Tract 4.01, Travis County, Texas",401,81
1400000US48453000500,"Census Tract 5, Travis County, Texas",500,73
1400000US48453000601,"Census Tract 6.01, Travis County, Texas",601,15
1400000US48453000603,"Census Tract 6.03, Travis County, Texas",603,149
1400000US48453000604,"Census Tract 6.04, Travis County, Texas",604,181
1400000US48453001100,"Census Tract 11, Travis County, Texas",1100,71
1400000US48453001714,"Census Tract 17.14, Travis County, Texas",1714,260
1400000US48453001722,"Census Tract 17.22, Travis County, Texas",1722,77
1400000US48453001737,"Census Tract 17.37, Travis County, Texas",1737,96
1400000US48453001749,"Census Tract 17.49, Travis County, Texas",1749,234
1400000US48453001752,"Census Tract 17.52, Travis County, Texas",1752,99
1400000US48453001755,"Census Tract 17.55, Travis County, Texas",1755,182
1400000US48453001756,"Census Tract 17.56, Travis County, Texas",1756,46
1400000US48453001760,"Census Tract 17.60, Travis County, Texas",1760,182
1400000US48453001761,"Census Tract 17.61, Travis County, Texas",1761,53
1400000US48453001765,"Census Tract 17.65, Travis County, Texas",1765,79
1400000US48453001770,"Census Tract 17.70, Travis County, Texas",1770,121
1400000US48453001775,"Census Tract 17.75, Travis County, Texas",1775,44
1400000US48453001782,"Census Tract 17.82, Travis County, Texas",1782,121
1400000US48453001784,"Census Tract 17.84, Travis County, Texas",1784,85
1400000US48453001785,"Census Tract 17.85, Travis County, Texas",1785,92
1400000US48453001786,"Census Tract 17.86, Travis County, Texas",1786,179
1400000US48453001819,"Census Tract 18.19, Travis County, Texas",1819,43
1400000US48453001826,"Census Tract 18.26, Travis County, Texas",1826,104
1400000US48453001834,"Census Tract 18.34, Travis County, Texas",1834,156
1400000US48453001839,"Census Tract 18.39, Travis County, Texas",1839,100
1400000US48453001841,"Census Tract 18.41, Travis County, Texas",1841,61
1400000US48453001847,"Census Tract 18.47, Travis County, Texas",1847,146
1400000US48453001848,"Census Tract 18.48, Travis County, Texas",1848,83
1400000US48453001849,"Census Tract 18.49, Travis County, Texas",1849,181
1400000US48453001850,"Census Tract 18.50, Travis County, Texas",1850,81
1400000US48453001851,"Census Tract 18.51, Travis County, Texas",1851,124
1400000US48453001855,"Census Tract 18.55, Travis County, Texas",1855,52
1400000US48453001858,"Census Tract 18.58, Travis County, Texas",1858,45
1400000US48453001908,"Census Tract 19.08, Travis County, Texas",1908,85
1400000US48453001910,"Census Tract 19.10, Travis County, Texas",1910,33
1400000US48453001911,"Census Tract 19.11, Travis County, Texas",1911,62
1400000US48453001912,"Census Tract 19.12, Travis County, Texas",1912,41
1400000US48453001913,"Census Tract 19.13, Travis County, Texas",1913,43
1400000US48453001917,"Census Tract 19.17, Travis County, Texas",1917,51
1400000US48453002500,"Census Tract 25, Travis County, Texas",2500,60
